,EPIC ID,RA (J2000) [deg],Dec (J2000) [deg],magnitude,Investigation IDs
28475,212195541, 130.012872, 24.158178, 10.376, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
27142,212159613, 135.83165, 23.24499, 10.376, GO16021_LC|GO16028_LC
9275,211508508, 131.321651, 13.259682, 10.377, GO16009_LC|GO16021_LC|GO16028_LC
9930,211527091, 131.297101, 13.522005, 10.377, GO16052_LC
12274,211630934, 133.4321, 14.969715, 10.379, GO16005_LC|GO16014_LC|GO16020_LC|GO16052_LC|GO16056_LC
10107,211532692, 131.725662, 13.6008, 10.38, GO16052_LC
26217,212107343, 133.786393, 22.166042, 10.382, GO16004_LC|GO16020_LC|GO16028_LC|GO16052_LC
6189,211412196, 137.290496, 11.824447, 10.384, GO16021_LC|GO16083_LC
14044,211686949, 136.682628, 15.739182, 10.385, GO16009_LC|GO16021_LC|GO16028_LC
21308,211933891, 131.669218, 19.233635, 10.387, GO16001_LC|GO16021_LC
21311,211934022, 131.666605, 19.235644, 10.387, GO16021_LC|GO16083_LC
13086,211654924, 129.995226, 15.300415, 10.389, GO16021_LC|GO16028_LC
17364,211819373, 129.921634, 17.591433, 10.39, GO16021_LC
25142,212075315, 135.749565, 21.553582, 10.392, GO16052_LC
19687,211887843, 130.462501, 18.548564, 10.393, GO16052_LC
18720,211857418, 130.857865, 18.120252, 10.393, GO16021_LC
19124,211868826, 136.57466, 18.277568, 10.394, GO16021_LC|GO16028_LC
33690,251375027, 136.661179, 23.081833, 10.396, GO16021_LC|GO16028_LC
31277,251307823, 139.270695, 17.412211, 10.396, GO16052_LC
32303,251338291, 139.254908, 20.114459, 10.399, GO16004_LC|GO16009_LC|GO16021_LC|GO16083_LC
12598,211640472, 130.563172, 15.104225, 10.399, GO16021_LC|GO16028_LC
11713,211613311, 135.540983, 14.72031, 10.401, GO16009_LC|GO16020_LC|GO16021_LC|GO16028_LC|GO16052_LC
32961,251352453, 139.821404, 21.284515, 10.402, GO16009_LC|GO16021_LC|GO16028_LC|GO16083_LC
